id,timestamp,name,total_docks,docks_in_service,available_docks,available_bikes,percent_full,status,latitude,longitude
2,12/31/2019 11:55:54 PM,Buckingham Fountain,39,38,28,10,26,In Service,41.876511,-87.620548
3,12/31/2019 11:55:54 PM,Shedd Aquarium,55,54,42,12,22,In Service,41.867226,-87.615355
4,12/31/2019 11:55:54 PM,Burnham Harbor,23,23,11,12,52,In Service,41.856268,-87.613348
5,12/31/2019 11:55:54 PM,State St & Harrison St,23,23,15,8,35,In Service,41.874053,-87.627716
6,12/31/2019 11:55:54 PM,Dusable Harbor,39,39,35,4,10,In Service,41.886976,-87.612813
7,12/31/2019 11:55:54 PM,Field Blvd & South Water St,19,19,18,1,5,In Service,41.886349,-87.617517
9,12/31/2019 11:55:54 PM,Leavitt St & Archer Ave,15,15,5,10,67,In Service,41.828792,-87.680604
11,12/31/2019 11:55:54 PM,Jeffery Blvd & 71st St,11,11,3,8,73,In Service,41.766638,-87.576450
12,12/31/2019 11:55:54 PM,South Shore Dr & 71st St,15,15,13,2,13,In Service,41.766409,-87.565688
13,12/31/2019 11:55:54 PM,Wilton Ave & Diversey Pkwy,35,35,27,8,23,In Service,41.932418,-87.652705
14,12/31/2019 11:55:54 PM,Morgan St & 18th St,15,15,10,5,33,In Service,41.858086,-87.651073
15,12/31/2019 11:55:54 PM,Racine Ave & 18th St,15,15,9,6,40,In Service,41.858166,-87.656495
16,12/31/2019 11:55:54 PM,Paulina Ave & North Ave,15,15,10,5,33,In Service,41.910337,-87.670072
17,12/31/2019 11:55:54 PM,Honore St & Division St,23,23,16,7,30,In Service,41.903119,-87.673935
18,12/31/2019 11:55:54 PM,Wacker Dr & Washington St,19,19,15,4,21,In Service,41.883132,-87.637321
19,12/31/2019 11:55:54 PM,Throop (Loomis) St & Taylor St,15,15,9,6,40,In Service,41.868968,-87.659141
20,12/31/2019 11:55:54 PM,Sheffield Ave & Kingsbury St,15,15,12,3,20,In Service,41.910522,-87.653106
21,12/31/2019 11:55:54 PM,Aberdeen St & Jackson Blvd,23,23,18,5,22,In Service,41.877726,-87.654787
22,12/31/2019 11:55:54 PM,May St & Taylor St,15,15,11,4,27,In Service,41.869482,-87.655486
23,12/31/2019 11:55:54 PM,Orleans St & Elm St,15,15,15,0,0,In Service,41.902924,-87.637715
24,12/31/2019 11:55:54 PM,Fairbanks Ct & Grand Ave,15,15,3,12,80,In Service,41.892500,-87.620700
25,12/31/2019 11:55:54 PM,Michigan Ave & Pearson St,23,23,21,2,9,In Service,41.897660,-87.623510
26,12/31/2019 11:55:54 PM,McClurg Ct & Illinois St,31,30,17,13,43,In Service,41.890359,-87.617532
27,12/31/2019 11:55:54 PM,Larrabee St & North Ave,19,19,12,7,37,In Service,41.910210,-87.643500
28,12/31/2019 11:55:54 PM,Larrabee St & Menomonee St,15,15,9,6,40,In Service,41.914680,-87.643320
29,12/31/2019 11:55:54 PM,Noble St & Milwaukee Ave,15,15,12,3,20,In Service,41.900680,-87.662600
30,12/31/2019 11:55:54 PM,Ashland Ave & Augusta Blvd,15,15,8,7,47,In Service,41.899643,-87.667700
31,12/31/2019 11:55:54 PM,Franklin St & Chicago Ave,23,23,14,9,39,In Service,41.896747,-87.635668
32,12/31/2019 11:55:54 PM,Racine Ave & Congress Pkwy,19,19,11,8,42,In Service,41.874640,-87.657030
33,12/31/2019 11:55:54 PM,State St & Van Buren St,27,27,24,3,11,In Service,41.877181,-87.627844
34,12/31/2019 11:55:54 PM,Cannon Dr & Fullerton Ave,15,15,8,7,47,In Service,41.926756,-87.634429
35,12/31/2019 11:55:54 PM,Streeter Dr & Grand Ave,47,47,11,36,77,In Service,41.892278,-87.612043
36,12/31/2019 11:55:54 PM,Franklin St & Jackson Blvd,39,39,38,1,3,In Service,41.877708,-87.635321
37,12/31/2019 11:55:54 PM,Dearborn St & Adams St,19,19,15,4,21,In Service,41.879356,-87.629791
38,12/31/2019 11:55:54 PM,Clark St & Lake St,27,27,19,8,30,In Service,41.886021,-87.630876
39,12/31/2019 11:55:54 PM,Wabash Ave & Adams St,23,23,23,0,0,In Service,41.879472,-87.625689
40,12/31/2019 11:55:54 PM,LaSalle St & Adams St,15,15,9,6,40,In Service,41.879344,-87.631985
41,12/31/2019 11:55:54 PM,Federal St & Polk St,19,19,10,9,47,In Service,41.872078,-87.629544
42,12/31/2019 11:55:54 PM,Wabash Ave & Cermak Rd,11,11,9,2,18,In Service,41.852619,-87.626488
43,12/31/2019 11:55:54 PM,Michigan Ave & Washington St,43,43,32,11,26,In Service,41.883984,-87.624684
44,12/31/2019 11:55:54 PM,State St & Randolph St,27,27,18,9,33,In Service,41.884730,-87.627734
45,12/31/2019 11:55:54 PM,Michigan Ave & Ida B Wells Dr,15,15,14,1,7,In Service,41.876243,-87.624426
46,12/31/2019 11:55:54 PM,Wells St & Walton St,19,19,12,7,37,In Service,41.899930,-87.634430
47,12/31/2019 11:55:54 PM,State St & Kinzie St,31,31,19,12,39,In Service,41.889187,-87.627754
48,12/31/2019 11:55:54 PM,Larrabee St & Kingsbury St,43,43,42,1,2,In Service,41.897764,-87.642884
49,12/31/2019 11:55:54 PM,Dearborn St & Monroe St,39,39,35,4,10,In Service,41.881320,-87.629521
50,12/31/2019 11:55:54 PM,Clark St & Ida B Wells Dr,35,35,29,6,17,In Service,41.875933,-87.630585
51,12/31/2019 11:55:54 PM,Clark St & Randolph St,39,39,37,2,5,In Service,41.884576,-87.631890
52,12/31/2019 11:55:54 PM,Michigan Ave & Lake St,35,35,23,12,34,In Service,41.886024,-87.624117
53,12/31/2019 11:55:54 PM,Wells St & Huron St,27,27,19,8,30,In Service,41.894722,-87.634362
54,12/31/2019 11:55:54 PM,Ogden Ave & Chicago Ave,19,19,16,3,16,In Service,41.896362,-87.654061
55,12/31/2019 11:55:54 PM,Halsted St & Roosevelt Rd,23,23,22,1,4,In Service,41.867324,-87.648625
56,12/31/2019 11:55:54 PM,Desplaines St & Kinzie St,27,27,25,2,7,In Service,41.888716,-87.644448
57,12/31/2019 11:55:54 PM,Clinton St & Roosevelt Rd,15,15,13,2,13,In Service,41.867118,-87.641088
58,12/31/2019 11:55:54 PM,Marshfield Ave & Cortland St,23,23,18,5,22,In Service,41.916017,-87.668879
59,12/31/2019 11:55:54 PM,Wabash Ave & Roosevelt Rd,23,23,8,15,65,In Service,41.867227,-87.625961
60,12/31/2019 11:55:54 PM,Dayton St & North Ave,19,19,8,11,58,In Service,41.910578,-87.649422
61,12/31/2019 11:55:54 PM,Wood St & Milwaukee Ave,19,19,11,8,42,In Service,41.907655,-87.672552
62,12/31/2019 11:55:54 PM,McCormick Place,27,27,17,10,37,In Service,41.851375,-87.618835
66,12/31/2019 11:55:54 PM,Clinton St & Lake St,23,23,14,9,39,In Service,41.885637,-87.641823
67,12/31/2019 11:55:54 PM,Sheffield Ave & Fullerton Ave,27,27,17,10,37,In Service,41.925602,-87.653708
68,12/31/2019 11:55:54 PM,Clinton St & Tilden St,23,23,22,1,4,In Service,41.875885,-87.640795
69,12/31/2019 11:55:54 PM,Damen Ave & Pierce Ave,23,23,15,8,35,In Service,41.909396,-87.677692
71,12/31/2019 11:55:54 PM,Morgan St & Lake St,23,23,15,8,35,In Service,41.885483,-87.652305
72,12/31/2019 11:55:54 PM,Wabash Ave & 16th St,39,39,21,18,46,In Service,41.860384,-87.625813
73,12/31/2019 11:55:54 PM,Jefferson St & Monroe St,19,19,13,6,32,In Service,41.880422,-87.642746
74,12/31/2019 11:55:54 PM,Kingsbury St & Erie St,23,23,14,9,39,In Service,41.893808,-87.641697
75,12/31/2019 11:55:54 PM,Canal St & Jackson Blvd,47,47,12,35,74,In Service,41.877245,-87.639366
76,12/31/2019 11:55:54 PM,Lake Shore Dr & Monroe St,39,39,30,9,23,In Service,41.880958,-87.616743
77,12/31/2019 11:55:54 PM,Clinton St & Madison St,31,31,21,10,32,In Service,41.882242,-87.641066
80,12/31/2019 11:55:54 PM,Aberdeen St & Monroe St,19,19,15,4,21,In Service,41.880419,-87.655519
81,12/31/2019 11:55:54 PM,Daley Center Plaza,39,39,30,9,23,In Service,41.884241,-87.629634
84,12/31/2019 11:55:54 PM,Milwaukee Ave & Grand Ave,19,19,5,14,74,In Service,41.891578,-87.648384
85,12/31/2019 11:55:54 PM,Michigan Ave & Oak St,23,23,14,9,39,In Service,41.900960,-87.623777
86,12/31/2019 11:55:54 PM,Eckhart Park,19,19,11,8,42,In Service,41.896373,-87.660984
87,12/31/2019 11:55:54 PM,Racine Ave & Fullerton Ave,19,19,7,12,63,In Service,41.925563,-87.658404
88,12/31/2019 11:55:54 PM,Racine Ave & Randolph St,19,19,11,8,42,In Service,41.884069,-87.656853
