trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype
25962904,12/31/2019 11:57:17 PM,12/31/2019 11:59:18 PM,5930,120,256,Broadway & Sheridan Rd,240,Sheridan Rd & Irving Park Rd,Subscriber
25962903,12/31/2019 11:57:11 PM,01/01/2020 12:05:45 AM,2637,514,623,Michigan Ave & 8th St,52,Michigan Ave & Lake St,Subscriber
25962902,12/31/2019 11:57:05 PM,01/01/2020 12:05:46 AM,863,520,623,Michigan Ave & 8th St,52,Michigan Ave & Lake St,Subscriber
25962901,12/31/2019 11:56:34 PM,01/01/2020 12:22:08 AM,4877,1533,90,Millennium Park,90,Millennium Park,Subscriber
25962900,12/31/2019 11:56:13 PM,01/01/2020 12:15:45 AM,2196,1172,112,Green St & Randolph St,225,Halsted St & Dickens Ave,Subscriber
25962899,12/31/2019 11:54:54 PM,01/01/2020 12:22:02 AM,5996,1628,145,Mies van der Rohe Way & Chestnut St,25,Michigan Ave & Pearson St,Subscriber
25962898,12/31/2019 11:54:38 PM,01/01/2020 12:04:38 AM,606,599,455,Maplewood Ave & Peterson Ave,467,Western Ave & Lunt Ave,Subscriber
25962897,12/31/2019 11:51:19 PM,12/31/2019 11:55:33 PM,5654,254,638,Clinton St & Jackson Blvd,134,Peoria St & Jackson Blvd,Subscriber
25962896,12/31/2019 11:50:19 PM,12/31/2019 11:55:37 PM,4561,318,255,Indiana Ave & Roosevelt Rd,3,Shedd Aquarium,Subscriber
25962895,12/31/2019 11:50:05 PM,12/31/2019 11:53:33 PM,1720,208,624,Dearborn St & Van Buren St,81,Daley Center Plaza,Subscriber
25962894,12/31/2019 11:49:53 PM,01/01/2020 12:22:30 AM,2898,1956,90,Millennium Park,76,Lake Shore Dr & Monroe St,Customer
25962893,12/31/2019 11:49:51 PM,01/01/2020 12:22:08 AM,3925,1936,90,Millennium Park,76,Lake Shore Dr & Monroe St,Customer
25962892,12/31/2019 11:49:43 PM,01/01/2020 12:21:51 AM,1671,1927,90,Millennium Park,76,Lake Shore Dr & Monroe St,Customer
25962891,12/31/2019 11:49:38 PM,01/01/2020 12:15:19 AM,2936,1540,90,Millennium Park,76,Lake Shore Dr & Monroe St,Customer
25962890,12/31/2019 11:46:19 PM,12/31/2019 11:53:51 PM,41,451,641,Central Park Ave & Bloomingdale Ave,259,California Ave & Francis Pl (Temp),Subscriber
25962889,12/31/2019 11:45:35 PM,12/31/2019 11:48:17 PM,2076,161,140,Dearborn Pkwy & Delaware Pl,161,Rush St & Superior St,Subscriber
25962888,12/31/2019 11:44:59 PM,12/31/2019 11:50:34 PM,6053,335,144,Larrabee St & Webster Ave,289,Wells St & Concord Ln,Subscriber
25962887,12/31/2019 11:43:41 PM,01/01/2020 12:56:43 AM,73,4381,289,Wells St & Concord Ln,289,Wells St & Concord Ln,Subscriber
25962886,12/31/2019 11:42:41 PM,01/01/2020 12:39:20 AM,3701,3398,232,Pine Grove Ave & Waveland Ave,232,Pine Grove Ave & Waveland Ave,Subscriber
25962885,12/31/2019 11:42:11 PM,01/01/2020 12:24:21 AM,389,2530,145,Mies van der Rohe Way & Chestnut St,26,McClurg Ct & Illinois St,Subscriber
25962882,12/31/2019 11:41:49 PM,01/01/2020 12:28:39 AM,269,2809,394,Clark St & 9th St (AMLI),394,Clark St & 9th St (AMLI),Subscriber
25962881,12/31/2019 11:41:31 PM,12/31/2019 11:50:18 PM,6025,527,159,Claremont Ave & Hirsch St,20,Sheffield Ave & Kingsbury St,Subscriber
25962880,12/31/2019 11:40:08 PM,12/31/2019 11:48:46 PM,6330,517,241,Morgan St & Polk St,15,Racine Ave & 18th St,Subscriber
25962879,12/31/2019 11:36:30 PM,12/31/2019 11:56:19 PM,4877,1189,90,Millennium Park,90,Millennium Park,Subscriber
25962878,12/31/2019 11:35:28 PM,12/31/2019 11:40:59 PM,3775,330,160,Campbell Ave & North Ave,309,Leavitt St & Armitage Ave,Subscriber
25962877,12/31/2019 11:35:20 PM,12/31/2019 11:39:45 PM,1914,265,417,Cornell Ave & Hyde Park Blvd,345,Lake Park Ave & 56th St,Subscriber
25962876,12/31/2019 11:32:47 PM,12/31/2019 11:45:47 PM,4599,780,275,Ashland Ave & 13th St,205,Paulina St & 18th St,Subscriber
25962875,12/31/2019 11:31:59 PM,12/31/2019 11:40:41 PM,3213,522,277,Ashland Ave & Grand Ave,130,Damen Ave & Division St,Subscriber
